,secID,ticker,exchangeCD,secShortName,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,CHG,CHGPct,turnoverVol,turnoverValue,discount,discountRatio,circulationShares,accumAdjFactor
388,510170.XSHG,510170,XSHG,国联安上证大宗商品股票ETF,2015-05-13,2.496,2.492,2.535,2.455,2.497,0.001,0.0004,54431564,136481379.0,0.005,0.001998,113228700.0,1.0
389,510180.XSHG,510180,XSHG,华安上证180ETF,2015-05-13,4.197,4.193,4.197,4.12,4.155,-0.042,-0.01,91369363,380516423.0,-0.0019,-0.000457,1230057700.0,2.767039
390,510190.XSHG,510190,XSHG,华安上证50ETF,2015-05-13,4.539,4.41,4.6,4.41,4.482,-0.057,-0.0126,14808706,66811122.0,0.024,0.005326,63650800.0,1.0
391,510210.XSHG,510210,XSHG,富国上证综指ETF,2015-05-13,4.892,4.969,4.969,4.75,4.788,-0.104,-0.0213,124924,600756.0,-0.022,-0.004616,56638500.0,1.0
392,510220.XSHG,510220,XSHG,华泰柏瑞上证中小盘ETF,2015-05-13,5.79,5.777,5.777,5.678,5.709,-0.081,-0.014,696667,3976708.0,0.102,0.017553,11229200.0,1.0
393,510230.XSHG,510230,XSHG,国泰上证180金融ETF,2015-05-13,6.635,6.641,6.668,6.487,6.518,-0.117,-0.0176,13633300,89952158.0,0.004,0.000613,402261600.0,1.0
394,510260.XSHG,510260,XSHG,诺安上证新兴产业ETF,2015-05-13,1.77,1.775,1.82,1.769,1.792,0.022,0.0124,190724036,341342387.0,-0.005,-0.002798,151982700.0,1.0
395,510270.XSHG,510270,XSHG,中银上证国有企业100ETF,2015-05-13,1.432,1.432,1.437,1.41,1.414,-0.018,-0.0126,1753200,2494429.0,0.006,0.004225,44832100.0,1.0
396,510280.XSHG,510280,XSHG,华宝上证180成长ETF,2015-05-13,1.75,1.74,1.758,1.731,1.736,-0.014,-0.008,1409216,2452094.0,0.001,0.000576,68754400.0,1.0
397,510290.XSHG,510290,XSHG,南方上证380ETF,2015-05-13,2.138,2.13,2.17,2.09,2.116,-0.022,-0.0103,105546061,222752862.0,0.0039,0.00184,168448900.0,1.0
398,510300.XSHG,510300,XSHG,华泰柏瑞沪深300ETF,2015-05-13,4.729,4.735,4.735,4.656,4.685,-0.044,-0.0093,682368450,3211349610.0,0.0108,0.0023,3427624800.0,1.047538
399,510310.XSHG,510310,XSHG,易方达沪深300ETF,2015-05-13,1.906,1.902,1.911,1.889,1.894,-0.012,-0.0063,4388400,8340719.0,0.0068,0.003577,2242307400.0,1.0
400,510330.XSHG,510330,XSHG,华夏沪深300ETF,2015-05-13,4.772,4.744,4.78,4.7,4.733,-0.039,-0.0082,28647680,135585941.0,0.0124,0.002613,4273449800.0,1.033918
401,510410.XSHG,510410,XSHG,博时上证自然资源ETF,2015-05-13,1.014,1.004,1.028,0.996,1.012,-0.002,-0.002,44328839,45039887.0,0.0022,0.002169,223258400.0,1.0
402,510420.XSHG,510420,XSHG,景顺长城上证180等权重ETF,2015-05-13,2.097,2.092,2.11,2.084,2.089,-0.008,-0.0038,2374275,4962658.0,0.009,0.00429,241455500.0,1.0
403,510430.XSHG,510430,XSHG,银华上证50等权重ETF,2015-05-13,1.985,1.97,1.984,1.937,1.937,-0.048,-0.0242,152305,299652.0,0.038,0.019241,107924500.0,1.0
404,510440.XSHG,510440,XSHG,大成中证500沪市ETF,2015-05-13,2.437,2.421,2.54,2.421,2.5,0.063,0.0259,4121450,10294914.0,0.048,0.018838,4058300.0,1.0
405,510450.XSHG,510450,XSHG,上投摩根上证180高贝塔ETF,2015-05-13,2.336,2.303,2.33,2.292,2.296,-0.04,-0.0171,416763,961099.0,0.0247,0.010643,7920700.0,1.0
